Date,Location,Temperature (°C),Humidity (%),Rainfall (mm),Soil pH,Soil Moisture (%),Nitrate Level (mg/kg),Phosphorus Level (mg/kg),Potassium Level (mg/kg),Crop Type,Crop Yield (kg/ha),Fertilizer Used (kg/ha),Pesticides Used (kg/ha),Water Usage (L/ha)
,Farm B,23.36,40.94,32.17,5.18,26.49,35.7,1.53,3.74,,1590.66,184.01,,324.77
02:25.0,,28.95,31,29.66,5.59,33.41,39.2,29.15,22.28,Corn,1742,29.7,5.07,566.11
02:25.0,,17.04,83.5,49.85,5.72,,43.31,19.35,,Wheat,2522.62,59.21,5.81,1320.37
02:25.0,Farm A,15.84,,3.9,6.78,29.85,0.02,35.54,16.48,Wheat,4788.84,69.89,7.99,1006.8
02:25.0,Farm A,22.67,71.57,0.3,6.57,21.41,37.03,37.54,32.1,Corn,2108.79,71.11,5.59,728.93
02:25.0,Farm B,,40.75,44.4,7.2,25.17,30.9,30.77,12.99,Soybeans,1139.76,102.66,3.45,1242.87
02:25.0,,19.27,81.43,45.08,7.14,17.2,45.75,0.81,22.92,Wheat,3496.95,168.51,,597.4
,Farm A,21.39,69.21,11.9,6.63,20.45,42.17,16.67,28.05,Corn,2887.42,39.26,8.7,384.38
,,,55.49,25.23,6.15,17.97,,27.2,0.21,Soybeans,2953.55,190.51,8.2,1673.42
02:25.0,,33.1,82.33,48.2,,32.63,12.14,23.09,4.86,Soybeans,,64.48,3.36,1688.22
02:25.0,Farm D,25.35,54.04,31.67,6.63,29.86,12.71,0.38,31.66,Soybeans,4765.39,135.78,9.93,596.2
02:25.0,Farm D,19.76,43.52,4.32,,,,18.61,40.72,Rice,1631.18,181.98,5.38,1020.72
02:25.0,Farm A,17.81,83.52,,7.16,28.39,14.81,9.64,42.83,Wheat,4273.79,43.94,8.07,694.75
02:25.0,Farm C,,49.72,33.65,6.54,30.05,2.78,,9.93,Wheat,4565.18,104.69,1.2,415.43
02:25.0,Farm D,25.73,39.28,24.26,5.71,12.94,28.91,38.41,21.04,Soybeans,2707.78,191.04,6.96,1123.37
02:25.0,Farm C,17.09,50.14,43.8,7.92,37.79,30.57,24.76,35.32,Rice,2855.9,143.68,9.09,1018.92
02:25.0,Farm D,16.05,49.34,43.04,7.54,11.42,49.11,23.71,0.75,Soybeans,3219.57,137.12,0.77,
02:25.0,Farm C,26.13,66.65,15,7.55,37.63,20.43,28.53,27.15,Wheat,4321.44,37.41,,201.32
02:25.0,Farm A,29.2,79.81,,6.05,39.72,10.25,,34.59,Corn,2389.25,101.03,5.74,1952.1
02:25.0,Farm A,33.53,48.11,,5.68,25.51,,19.97,4.87,,4482.58,25.73,0.25,1461.98
02:25.0,Farm C,15.93,69.44,22.03,7.17,22.85,36.26,26.65,23.17,Rice,4659.24,164.02,9.39,984.01
02:25.0,Farm A,32.33,,39.35,7.69,,23.99,6.13,10.48,,,106.8,5.52,884.52
02:25.0,,16.09,65.21,19.01,7.77,37.42,11.64,37.34,10.43,Rice,1650.32,151.16,8.94,577.25
02:25.0,Farm D,27.55,85.71,47.16,6.37,17.05,21.13,37.37,47.48,Corn,4747.04,136.22,7.61,1047.21
02:25.0,,29.5,88.93,28.51,5.1,26.56,44.65,13.09,18.09,Corn,,42.24,3.51,839.26
02:25.0,Farm C,24.8,47.54,,5.51,24.5,10.72,24.27,48.14,,,55.69,8.69,1105.8
02:25.0,Farm A,18.15,38.93,37.17,7.79,20.84,0.93,11.79,2.47,Rice,2575.89,134.59,8.74,1508.6
02:25.0,Farm C,29.6,79.23,20.07,7.69,20.6,6.58,13.9,25.42,Rice,1249.94,129,4.02,
02:25.0,,20.29,84.34,45.27,7.19,,0.29,,19.85,,2728.62,129,,277.35
,Farm D,25.85,75.1,0.06,7.05,14.35,,,45.42,Rice,1993.27,,6.93,1222.33
02:25.0,Farm D,25.34,82.88,21.81,7.15,23.36,21,4.35,33.48,Corn,4079.89,171.95,9.35,1734.98
02:25.0,Farm A,29.88,36.79,,5.81,,6.42,3.45,28.31,Corn,4286.23,,5.01,
,Farm A,18.74,59.88,14.59,5.7,,36.17,11,,Rice,4016.17,,,1710.04
02:25.0,Farm B,20.3,83.84,,6.7,37.22,26.85,6.91,40.3,Soybeans,2953.52,141.77,,416.65
02:25.0,Farm C,34.06,78.04,2.26,5.07,27.79,26.45,16.09,48.32,,2121.46,194.01,4.21,1241.29
02:25.0,Farm C,15.27,51.26,8.04,5.5,23.79,33,38.7,43.33,Wheat,3190.95,190.57,9.79,
02:25.0,Farm C,,45.83,2.95,7.14,39.2,10.95,27.99,38.87,Rice,4112.29,187.27,,213.66
02:25.0,Farm B,27.04,54.05,1.97,5.86,14.29,16.69,15.91,32.1,Soybeans,,97.18,8.73,684.4
02:25.0,Farm A,18.8,73.05,38.56,6.49,35.96,38.78,33.62,17.75,Corn,4306.14,,8.88,776.81
02:25.0,Farm D,34.32,50.81,4,,,16.3,25.02,16.34,Wheat,1987.67,80.61,4.04,1030.77
02:25.0,,15.04,68.27,0.91,6.19,21.52,37.69,,8.66,,3033.63,2.98,4.97,1073.75
02:25.0,,17.71,80.34,40.91,7.74,19.16,16.22,15.37,33.49,Soybeans,3712.92,100.78,,1793.76
02:25.0,,31.53,72.01,15.48,6.99,31.81,15.06,16.03,45.07,Wheat,1899.95,124.33,7.45,236.63
02:25.0,Farm C,25.56,72.43,0.4,6.93,35.08,48.59,9.46,42.83,,4773.26,83.78,7.58,338.36
,,31.98,65.28,28.34,7,25.22,26.19,4.36,4.93,Soybeans,3082.59,193.25,5.43,
02:25.0,Farm A,15.63,60.35,43.14,5.85,26.65,5.54,32.54,25.35,Rice,1909.94,19.33,2.45,1982.32
02:25.0,Farm B,15.71,38.06,36.98,7.78,33.87,23.99,24.99,32.64,Soybeans,2106.12,138.18,,1126.11
02:25.0,Farm D,19.14,46.52,20.94,7.67,24.9,30.32,36.5,34.04,Corn,2320.64,,6.97,1108.59
,Farm C,28.44,68.48,48.52,7.44,25.08,38.47,25.4,26.87,Rice,2611.44,140.84,1.22,1892.73
,,16.4,60.79,28.61,7.58,36.3,1.55,39.13,24.62,Wheat,2781.45,56.08,,398.73
02:25.0,Farm D,28.35,50.8,32.03,7.72,11.89,12.34,37.69,,,2897.63,142.47,9.45,1732.34
02:25.0,Farm A,,57.1,,6.47,37.48,15.41,,35.42,,1968.11,138.69,,
02:25.0,Farm A,,,2.57,6.73,,,35.78,32.96,Rice,3799.62,25.11,1.93,385.98
02:25.0,,24.34,70.94,41.6,7.76,36.06,16.9,37.07,41.23,Rice,1916.12,4.81,4.84,1871.2
02:25.0,Farm A,34.58,54.74,13.06,7.16,20.9,14.41,10.94,37.46,,4350.37,,9.66,977.74
02:25.0,Farm B,31.55,72.96,9.22,5.46,28.56,9.02,23.14,1.96,Soybeans,2265.2,40.32,1.79,1422.88
02:25.0,Farm D,32.04,72.11,,5.42,32.41,8.45,38.05,18.7,Corn,1492.65,9.63,,207.6
02:25.0,Farm B,24.62,70.72,4.9,5.42,38.82,6.89,,40.3,Corn,1888.94,79.77,6.83,900.03
02:25.0,Farm B,22.59,56.9,,7.46,39.11,3.93,2.84,,Soybeans,2161.75,,6.82,1874.83
02:25.0,Farm A,20.47,71.7,45.19,7.3,,0.06,,24.58,Rice,1485.95,65.01,3.85,141.17
02:25.0,Farm C,16.04,56.74,31.48,5.84,22.82,11.49,39.88,7.12,,,42.51,1.47,
02:25.0,Farm D,22.92,38.27,34.61,5.84,38.86,29.43,9.88,2.54,Wheat,1252.47,49.59,6.55,285.9
02:25.0,Farm D,26.24,39.68,7.8,5.82,19.91,32.79,25.63,9.64,Soybeans,4706.37,5.53,,1745.13
02:25.0,,33.19,70.91,33.14,7.79,20.45,26.41,19.39,26.85,Rice,1382.04,66.28,4.13,1452.41
02:25.0,,33.38,80.13,16.84,,36.94,43.24,17.25,41.74,Soybeans,2495.63,54.51,6.9,602.1
02:25.0,Farm D,30.55,76.68,39.28,6.79,26.84,14.48,4.24,,Rice,4615.81,178.55,4.4,1443.89
02:25.0,Farm A,27.39,82.74,45.47,6.13,15.31,35.23,29.34,40.35,Corn,1082.57,32.83,3.18,1525.4
02:25.0,Farm C,23.79,58.39,16.87,6.85,,33.85,31.97,24.24,Corn,4163.25,102.63,4.97,1233.64
02:25.0,Farm A,25.24,71.9,35.87,,15.5,8.01,,19.31,,1860.43,11.24,4.43,121.66
02:25.0,Farm C,22.63,46,5,,11.17,47.03,26.96,11.29,Corn,1001.45,63.23,5.56,1229.78
,Farm C,19.48,62.63,12.13,,32.78,9.23,,27.19,Wheat,2632.69,61.66,0.82,1873.89
02:25.0,Farm A,30.53,71.44,21.77,,20.58,1.77,27.59,3.48,Rice,2122.14,197.79,8.68,1899.99
02:25.0,,21.77,58.63,47.07,7.53,34.99,38.38,,32.36,Soybeans,3883.42,155.54,1.1,497.22
,Farm D,22.99,46.33,38.97,5.3,,10.37,,42.08,Soybeans,1909.02,157.78,0.36,
02:25.0,Farm A,19.01,49.01,8.62,5.21,22.5,7.68,32.16,38.82,Rice,4325.55,157.02,,1535.62
02:25.0,Farm C,25.46,58.22,6.39,,20.9,6.47,,29.91,,4567.94,112.78,8.27,944.29
,Farm C,23.9,55.64,21.21,7.68,16.46,20.03,14.55,41.26,Wheat,,133.54,9.35,1776.31
02:25.0,Farm D,30.25,52.15,32.03,6.43,20.94,,31.65,49.89,Wheat,3830.68,115.31,5.43,387.65
02:25.0,Farm D,28.48,31.69,28.2,6.98,29.03,28.67,3.25,5.83,Wheat,1905.48,152.88,3.08,901.15
02:25.0,Farm D,20.33,,20.22,5.22,35.18,32.4,4.69,46.01,Corn,4098.69,,3.08,1142.41
02:25.0,Farm D,16.75,42,42.96,7.7,19.62,20.5,,46.74,Rice,3867.5,123.58,3.61,
02:25.0,Farm B,30.54,85.59,49.14,7.12,,21.17,26.05,7.36,Wheat,3339.54,98.66,6.76,402.15
02:25.0,Farm D,16.78,33.13,,5.93,12.92,48.66,9.67,23.18,Soybeans,4231.62,,7.96,1102.25
02:25.0,Farm C,32.84,50.6,12.68,7.76,16.96,36.06,38.22,44.16,Wheat,1961.92,158.36,6.05,
02:25.0,Farm B,33.65,35.5,6.08,5.37,,40.2,17.76,23.06,Rice,2229.8,7.79,8.11,779.44
02:25.0,Farm C,,,36.05,,12.74,46.14,3.74,45.61,Wheat,3178.3,35.78,,120.35
02:25.0,Farm A,23.49,43.34,40.32,7.86,34.89,23.03,30.04,7.3,Soybeans,1036.36,61.95,6.58,1206.53
02:25.0,Farm B,27.69,44.86,29.98,6.85,36.14,30.7,29.66,20.5,Rice,3657.57,187.26,4.45,339.18
02:25.0,Farm A,33.27,,6.83,5.13,38.69,29.18,8.06,34.78,Corn,1865.2,71.11,,1527.17
02:25.0,Farm C,30.57,48.61,26.49,,27.6,24.4,21.28,48.51,Wheat,4152.49,89.16,3.02,1883.24
02:25.0,,16.94,82.25,11.85,6.56,28.23,21.27,22.16,18.3,Wheat,3697.94,7.85,8.38,1264.26
02:25.0,,,43.42,4.39,7.28,31.65,24.09,,18.6,Soybeans,4900.3,187.74,3.07,824.37
,,30.75,45.53,13.3,7.8,12.67,4.16,24.98,37.24,,3992.85,173.58,,168.37
02:25.0,Farm D,20.14,76.11,,7.04,,18.05,7.55,26,Soybeans,4414.94,132.91,4.69,540.78
02:25.0,Farm B,26.75,70.95,40.52,7.93,32.54,39.16,30.16,39.34,Rice,4867.41,17.16,7.04,733.03
02:25.0,Farm B,26.43,68.21,19.44,5.19,24.17,30.93,7.23,41.68,Rice,3080.77,33.64,9.87,1424.61
02:25.0,Farm B,27.5,61.79,11.89,6.47,39.44,22.77,27.11,26.52,,3101.82,91.25,0.82,1924.74
,Farm B,32.82,86.22,30,6.78,25.51,13.34,11.87,38.83,Soybeans,1234.14,179.91,6.31,1143.59
02:25.0,Farm D,,68.1,12.53,5.08,22.07,48.75,,35.84,Corn,,172.43,,
02:25.0,Farm C,28.48,52.18,36.36,6.09,36.78,20.24,30,31.88,Soybeans,,184.4,6.04,1450.94
,,33.16,,15.39,5.68,16.4,42.19,32.32,20.93,Rice,2694.22,119.21,6.58,788.44
02:25.0,Farm B,15.55,57.73,23.58,5.79,38.89,8.02,18.26,0.86,Wheat,,178.39,1.63,198.94
02:25.0,Farm A,20.48,,24.99,5.99,39.78,13.46,14.83,12.48,Soybeans,2648.53,44.55,4.26,513.67
02:25.0,,20.94,35.47,14.65,6.77,19.04,7.77,12.9,46.55,Wheat,3410.34,83.41,9.63,1893.51
02:25.0,Farm B,15.84,75.14,47.75,6.08,18.09,5.7,34.77,1.73,Corn,1554.24,63.97,0.29,124.25
02:25.0,Farm B,33.18,70.94,36.91,,32.75,,15.35,9.26,Soybeans,3228.62,41.34,0.07,1819.97
02:25.0,Farm B,20.27,75.62,28.9,7.56,30.34,26.75,37.03,4.54,Rice,1953,173.14,9.04,1451.07
02:25.0,Farm B,33.33,41.22,41.69,,14.97,42.79,31.27,47.56,Rice,4100.43,153.31,8.9,1575.37
02:25.0,Farm B,31.45,35.29,35.79,5.86,34.17,2.89,3.27,46.37,Soybeans,4094.7,,2.5,1500.5
02:25.0,Farm D,28.11,61.86,,6.01,28.39,16.99,,48.29,Corn,4284.65,150.68,,1601.35
02:25.0,Farm C,22.28,61.52,30.23,6.24,24.78,23.2,11.89,14.21,Soybeans,1705.41,130.22,7.66,1239.1
02:25.0,Farm D,20.51,65.43,2.24,7.99,34.64,45.15,2.83,11.64,Corn,1187.29,13,1,
02:25.0,Farm B,19.7,,,5.13,19.51,31.51,8.02,,Wheat,2616.98,116.32,8.97,1402.94
02:25.0,Farm D,30.82,55.52,2.11,5.15,18.44,7.71,31.15,,Soybeans,1584.15,44.87,8.33,
02:25.0,,21.07,65.75,12.69,,11.77,4.73,34.3,5.47,Rice,2504.65,163.85,7.92,1669.06
02:25.0,Farm C,16.39,65.88,10.99,6.41,29.83,21.91,28.94,29.15,,1036.83,125.79,3.72,1215.85
02:25.0,Farm A,29.46,39.22,,7.12,13.84,0.24,28.81,13.28,Rice,2365.72,162.17,8.15,1258.45
02:25.0,Farm B,18.53,38.27,28.04,7.65,24.8,36.91,24.19,8.61,Rice,2373.01,32.43,3.95,267.97
02:25.0,Farm B,18.44,41.64,41.36,7.66,22.9,6.86,6.51,38.74,Wheat,1993.33,,9.32,1859.52
02:25.0,Farm D,23.83,61.85,24.78,,11.74,4.94,10.15,38.35,Wheat,3010.14,51.4,3.87,1757.7
02:25.0,,19.94,,22.06,5.73,27.82,4.77,34.51,29.53,Soybeans,1980.63,41.67,3.24,1547.84
02:25.0,Farm B,18.54,68.36,40.8,5.6,12.66,34.51,4.26,20.77,Soybeans,1594.62,30.41,6.73,1377
02:25.0,Farm A,,37.1,38.51,5.58,39.52,,7.8,5.29,,2778.6,29.6,7.09,1208.44
02:25.0,Farm B,23.75,80.8,,6.14,12.79,,26.05,30.52,Soybeans,3675.52,23.93,3.21,318.83
02:25.0,Farm D,28.42,49.87,21.78,7.03,34.72,35.99,,28.48,Corn,1664.3,66.78,5.86,
02:25.0,Farm B,30.73,38.67,4.7,,27.53,45.21,23.09,31.11,Rice,1104.91,99.95,5.43,203.93
02:25.0,Farm B,,33.15,11.07,5.23,28.31,,0.25,18.13,Soybeans,4081.79,114.98,2.97,642.29
02:25.0,Farm C,26.44,,48.81,5.46,36.67,2.33,39.02,15.08,Soybeans,3150.74,38.49,6.64,247.69
02:25.0,,17.77,74.35,36.4,7.37,31.26,40.09,33.41,22.4,Rice,,,5.16,1800.56
02:25.0,Farm A,26.53,49.29,35.17,7.27,15.01,11.41,34.61,17.49,Wheat,1973.49,156.61,4.81,
02:25.0,Farm C,17.37,70.99,,5.15,26.77,7.48,,,Wheat,1444.88,11.01,7.99,1105.23
02:25.0,Farm D,25.07,41.5,31.47,6.95,13.06,19.05,27.62,38.65,Rice,4889.79,190.45,1.62,1508.73
02:25.0,Farm D,,80.07,6.89,,28.07,16.35,10.5,5.66,Corn,2646.04,97.02,1.85,1446.29
02:25.0,Farm A,18.03,30.69,12.89,7.75,15.31,36.2,38.82,4.48,Corn,,81.08,7.4,1693.97
02:25.0,,24.83,66.68,30.63,7.69,33.22,47.79,4.12,38.48,Corn,1701.18,99.77,7.84,320.9
02:25.0,Farm C,32.71,,41.98,6.96,37.07,4.04,22.06,47.12,Rice,1458.98,,1.61,1560.31
,Farm D,33.65,53.56,21.23,7.65,10.42,19.97,22.48,22.96,Rice,,15.32,6.18,1046.84
02:25.0,Farm D,15.49,82.38,44.84,5.8,,26.6,1.38,,Soybeans,2150,187.29,,261.17
02:25.0,Farm C,32.77,70.32,10.64,7.86,32,48.01,32.07,49.02,,2031.22,167.43,2.86,1100.17
02:25.0,Farm A,27.18,56.67,5.01,6.73,16.47,,33.98,0.14,Corn,1874.84,121.4,2.35,309.53
02:25.0,Farm D,16.04,38.4,16.58,,39.83,25.11,36.7,13.24,,2307.19,57.5,9.27,1813.11
02:25.0,Farm A,19.78,58.65,,,12.22,,38.27,47.3,,1882.71,43.75,,1758.02
02:25.0,Farm B,33.76,76.67,23.72,5.62,,12.27,19.82,7,Wheat,2664.28,98.87,,1854.15
02:25.0,Farm B,27.49,56.53,8.37,6.09,15.67,12.75,2.55,28.3,Rice,3575.85,45.85,6.7,
,Farm A,20.19,83.76,26.26,7.13,34.01,39.6,0.52,19.24,Rice,3433.92,18.01,3.5,1400.53
02:25.0,,31.76,86.41,43.27,5.86,21.78,12.46,20.69,5.47,Rice,1981.23,86.98,0.09,1509.13
02:25.0,Farm C,34.49,,11.89,7.2,13.9,32.59,11.83,21.24,Rice,4256.56,174.58,1.97,1575.48
02:25.0,Farm B,33.35,37.3,21.01,6.74,30.09,11.29,13.68,33.33,Rice,3656.28,162.12,0.38,583.75
02:25.0,,23.15,75.23,22.07,7.89,,33.47,,32.92,Soybeans,2005.9,175.29,9.89,727.04
02:25.0,Farm D,34.38,74.44,12.77,7.97,29.5,0.3,22.11,27.38,Soybeans,4629.34,94.74,4.3,249.26
02:25.0,Farm C,28.01,65.11,17.06,6,39.28,48.32,17.08,40.13,,3022.44,129.16,2.11,948.64
,,28.67,77.13,40.96,6.96,32.92,47.73,29.15,7.32,Rice,1986.04,8.08,1.16,1687.03
02:25.0,Farm A,26.91,77.89,33.42,5.44,38.48,12.89,20.7,16.46,Rice,2912.29,131.73,,1028.04
02:25.0,Farm A,15.38,49.47,10.85,7.06,29.28,19.2,26.67,34.76,Rice,2464.52,190.2,3.49,1723.97
02:25.0,Farm B,15.63,84.09,,5.75,28.49,44.82,28.99,28.69,Corn,2768.26,20.7,5.2,480.35
02:25.0,Farm C,27.78,,,5.9,13.02,44.5,,19.26,Wheat,4091.26,176.52,1.94,1909.1
